"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Results per page"
"%s-%s of %s","%s-%s of %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","View Details"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Zip/Postal Code","Zip"
"Discount Codes?","Discount Codes?"
"###","Customer Module"
"Registration is free and easy!","Registration is free and easy!"
"Faster checkout","Faster checkout"
"Save multiple shipping addresses","Save multiple shipping addresses"
"View and track orders and more","View and track orders and more"
"Cart", "Basket"
"View Cart", "View Basket"
"Add to Cart", "Add to Basket"
"View Shopping Cart", "View Shopping Basket"
"Cart Subtotal", "Basket Subtotal"
"Shopping Cart", "Shopping Basket"
"Update Shopping Cart", "Update Shopping Basket"
"Empty Cart", "Empty Basket"
"More Views", ""
"Search entire store here...", "Search our range of products here..."
"Add to Cart", "Add to basket"
"My Cart", "My basket"
"My Cart (%s item)","My basket (%s item)"
"My Cart (%s items)","My basket (%s items)"
"Cart", "Basket"
"Cart (%s item)", "Basket (%s item)"
"Cart (%s items)", "Basket (%s items)"
"Shopping Cart","Shopping basket"
"Continue Shopping","Continue shopping"
"Empty Cart", "Empty basket"
"Update Shopping Cart", "Update shopping basket"
"Tax","VAT"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"Grand Total Excl. Tax", "Grand total excl. VAT"
"Grand Total Incl. Tax", "Grand total incl. VAT"
"Grand Total (Excl.Tax)", "Grand total (excl. VAT)"
"Grand Total (Incl.Tax)", "Grand total (Incl. VAT)"
"+ Tax", "+ VAT"
"In stock", ""
"Search entire store here...","Search our range of products..."
"Sort By","Order by"
"Configurable Attribute Placeholder (must be selected if it's the only selectable configurable attribute)", "C.A.P"
"%1$s other %2$s in your %3$s","See full breakdown of items in your %3$s"
"View Shopping Cart", "View shopping basket"
"You Earn", "Reward points earned"
"Shopping Cart is Empty", "Your shopping basket is empty"
"You have no items in your shopping cart.", "You have no items in your shopping basket."
"Canceled", "Cancelled"
"State/Province", "County"
"State", "County"
"Province", "County"
"Zip", "Postcode"
"Zip/Postal Code", "Postcode"
"Proceed to Checkout", "Proceed to payment"
"This Is A Required Field", "This is a required field"
"* Required Fields", "* Required fields"
"Sign Up for Newsletter", "Sign up for newsletter"
"Company Email Address", "Company email address"
"Email Address", "Email address"
"Email Address (already provided)", "Email address (already provided)"
"Current Password", "Current password"
"Confirm Password", "Confirm password"
"New Password", "New password"
"Confirm New Password", "Confirm new password"
"Business Name", "Business name"
"Year Established (YYYY)", "Year established (YYYY)"
"Trading Name (if different)", "Trading name (if different) "
"Company Registration Number", "Company registration number"
"Type of Business", "Type of business"
"Main Industry", "Main industry"
"Street Address", "Street address"
"Street Address %s", "Street address %s"
"County/State/Province", "County/state/province"
"Postcode/Zip", "Postcode/zip"
"First Name", "First name"
"Last Name", "Last name"
"Company Telephone Number", "Company telephone number"
"Telephone Number", "Telephone number"
"Mobile Number", "Mobile number"
"Personal Information", "Personal information"
"Address Information", "Address information"
"Company Information", "Company information"
"Login Information", "Login information"
"Register for a Trade Account", "Register for a trade account"
"My Account", "My account"
"My Wishlist", "My wishlist"
"My Wishlist (%s items)", "My wishlist (%s items)"
"Compare Products", "Compare products"
"Log In", "Log in"
"Login/Register", "Login/register"
"Log Out", "Log out"
"Trade Account", "Trade account"
"View All", "View all"
"New Customers", "New customers"
"Registered Customers", "Registered customers"
"Login or Create an Account", "Login or create an account"
"Forgot Your Password?", "Forgot your password?"
"Estimate Shipping", "Estimate shipping"
"Discount Codes", "Discount code"
"Reward Points", "Reward points"
"Special Offers", "Special offers"
"Recommended Products", "Recommended products"
"Clearance Products", "Clearance products"
"Featured Categories", "Featured categories"
"Related Products", "Related products"
"Crosssell Products", "Crosssell products"
"Upsell Products", "Upsell products"
"Add to Wishlist", "Add to wishlist"
"Add to Compare", "Add to compare"
"Share Your Wishlist", "Share your wishlist"
"Sharing Information", "Sharing information"
"My Orders", "My orders"
"Last Ordered Items", "Last ordered items"
"Account Information", "Account information"
"Account Dashboard", "Account dashboard"
"My Account Dashboard", "My account dashboard"
"Change Billing Address", "Change billing address"
"Change Shipping Address", "Change shipping address"
"Additional Address Entries", "Additional address entries"
"Default Addresses", "Default addresses"
"My Dashboard", "My dashboard"
"Address Book", "Address book"
"Newsletter Subscriptions", "Newsletter subscriptions"
"%s Reward Points", "$s reward points"
"My Reward Points", "My reward points"
"Remove Item", "Remove item"
"Remove This Item", "Remove this item"
"View Order", "View order"
"Contact Information", "Contact information"
"Default Billing Address", "Default billing address"
"Default Shipping Address", "Default shipping address"
"Use Billing Address", "Use billing address"
"Billing Address", "Billing address"
"Edit Address", "Edit address"
"Manage Addresses", "Manage addresses"
"Change Password", "Change password"
"Reward Points Information", "Reward points information"
"Your Reward Points", Your reward points"
"Points/Currency Exchange Rate:", Points/currency exchange rate"
"Email Notification Settings", "Email notification settings"
"Transaction History", "Transaction history"
"Edit Account Information", "Edit account information"
"General Subscription", "General subscription"
"Billing Information", "Billing information"
"Shipping Information", "Shipping information"
"Shipping Method", "Shipping method"
"Payment Information", "Payment information"
"Order Review", "Order review"
"Forgot an Item?", "Forgot an item?"
"Edit Your Cart", "Edit your basket"
"Total Points", "Total points"
"Shipping & Handling", "Shipping & handling"
"Get in Touch", "Get in touch"
"Enquiry Type", "Enquiry type"
"Deliveries & Shipping", "Deliveries & shipping"
"Sales Orders and Returns", "Sales orders and returns"
"About This Order:", "About this order:"
"Order Date: %s", "Order date: %s"
"Order Information", "Order information"
"Items Ordered", "Items ordered"
"Payment Method", "Payment method"
"Back to My Orders", "Back to my orders"
"Print Invoice", "Print invoice"
"Items Invoiced", "Items invoiced"
"Print All Invoices", "Print all invoices"
"Print All Shipments", "Print all shipments" 
"Print Shipment", "Print shipment"
"Shipping Address", "Shipping address"
"Items Shipped", "Items shipped"
